Filename,minimum,maximum,average,U1,U2,U3,U4
0020_MWIR (2).jpg,0.53949,3.600723,1.4411270164995107,-26.09179920419852,-7.861130926839328,-2.2315792610127847,-2.2831110841141786
0021_MWIR (2).jpg,0.603664,3.914398,1.4606849235567514,-25.993050394995592,-7.831638947516004,-2.2230889585569766,-2.2742620321810643
0022_MWIR (2).jpg,0.603611,3.809723,1.4636625597235813,-25.978002731846708,-7.827113766564679,-2.2217885593799207,-2.27291986923528
0023_MWIR (2).jpg,0.53981,3.831528,1.4717747016053082,-25.93703293069948,-7.814851934223942,-2.2182605126908332,-2.269253747124072
0024_MWIR (2).jpg,0.562012,3.915901,1.4512067668113993,-26.040879547571684,-7.845862497340252,-2.227188603175235,-2.2785609209307296
0025_MWIR (2).jpg,0.584351,3.392677,1.426535777366683,-26.16545777626255,-7.883099266075941,-2.2379062601584243,-2.289718469706801
0026_MWIR (2).jpg,0.562599,3.371445,1.4217375317178327,-26.18967726660988,-7.890316376401668,-2.2399853186567387,-2.2918923260570034
0027_MWIR (2).jpg,0.541748,3.540184,1.419788944801859,-26.19950605538741,-7.8932293826003965,-2.240825666489362,-2.292777719039127
0028_MWIR (2).jpg,0.606102,3.833298,1.4223787776541097,-26.186421591431582,-7.889302893320497,-2.239697011711273,-2.2916094933029063
0029_MWIR (2).jpg,0.562759,3.749268,1.4152605162640655,-26.22234317004183,-7.899987617641802,-2.2427763768070808,-2.2948374845708424
0030_MWIR (2).jpg,0.519619,3.7911,1.4063715003118884,-26.267206495132786,-7.913345326087802,-2.2466249756248953,-2.29886611156455
0031_MWIR (2).jpg,0.455059,3.728378,1.3998802790484344,-26.299952990550523,-7.923060557616621,-2.2494267501408904,-2.3018137397124168
0034_MWIR (2).jpg,0.541374,2.400791,1.3084540566872553,-26.76151086011495,-8.060778107569451,-2.2890858546254997,-2.3432050308907684
0035_MWIR (2).jpg,0.477352,1.806293,1.2855123783573874,-26.87730469279764,-8.095268844390159,-2.299022319385216,-2.353600403676748
0036_MWIR (2).jpg,0.435009,1.828403,1.2835394779598825,-26.88726214417285,-8.09823383364594,-2.299876536047401,-2.3544944595385804
0037_MWIR (2).jpg,0.478958,1.914444,1.277424479607999,-26.918126029302808,-8.107426059910589,-2.3025248010821606,-2.3572654519501643
0038_MWIR (2).jpg,0.478802,1.8717,1.2770487988502934,-26.92002335318505,-8.107993985951895,-2.3026883040163577,-2.3574353797263115
0039_MWIR (2).jpg,0.393143,1.765785,1.2420236657992907,-27.096793672708003,-8.160617164833708,-2.3178498603050057,-2.3733094463262048
0040_MWIR (2).jpg,0.370857,1.828983,1.2387381069318737,-27.11337312807986,-8.16554635372276,-2.319270270370112,-2.3747991824624815
0041_MWIR (2).jpg,0.435425,1.786205,1.2427373131971624,-27.093190723407904,-8.159541699433893,-2.3175401358977146,-2.3729863495432584
0042_MWIR (2).jpg,0.457748,1.82962,1.2441717530118641,-27.085951122254766,-8.157386436092215,-2.3169191904432327,-2.37233626851737
0043_MWIR (2).jpg,0.458054,1.829933,1.239251548345768,-27.11078325501927,-8.164778967739835,-2.3190490959815895,-2.3745661950188874
0044_MWIR (2).jpg,0.393044,1.850922,1.2389056285133317,-27.112530499220497,-8.16530256230297,-2.319199846888455,-2.3747226516123074
0045_MWIR (2).jpg,0.392639,1.893105,1.2303244635549169,-27.155837305780942,-8.17818990902823,-2.3229130818960133,-2.378612315737861
0046_MWIR (2).jpg,0.500359,1.82909,1.233224042040729,-27.141202851685033,-8.173832375145796,-2.3216576634188533,-2.377298301067267
0047_MWIR (2).jpg,0.435116,1.871124,1.2415992204072896,-27.098935795888362,-8.161254965357658,-2.318033750434082,-2.3735020141921743
0048_MWIR (2).jpg,0.435879,1.87191,1.2397769529507094,-27.10813174379955,-8.163990200716983,-2.3188219043231766,-2.3743281480704015
0049_MWIR (2).jpg,0.478397,1.892578,1.2382256763056507,-27.115961724171196,-8.166322959408118,-2.319493934540787,-2.375031017391718
0050_MWIR (2).jpg,0.52227,1.893372,1.2540056531219423,-27.036321195051965,-8.142615430575052,-2.3126634343272725,-2.367879200894368
0051_MWIR (2).jpg,0.479717,1.979099,1.2693272622706702,-26.958994957583876,-8.119599061777704,-2.30603194657059,-2.3609348338011773
0052_MWIR (2).jpg,0.565308,1.914612,1.2665894482815558,-26.9728137968469,-8.123715799953269,-2.3072179461468214,-2.362175377322044
0053_MWIR (2).jpg,0.479866,1.894096,1.2595899418756116,-27.00814009895633,-8.134232400744457,-2.310247926347942,-2.3653476531204207
0054_MWIR (2).jpg,0.566612,1.894661,1.2743175343902886,-26.933808229654243,-8.112098663510322,-2.3038710871400356,-2.358673451399813
0055_MWIR (2).jpg,0.523174,1.93689,1.2784075731347848,-26.91316562005776,-8.105952634202676,-2.302100355013301,-2.3568198610390136
0056_MWIR (2).jpg,0.523678,1.937405,1.280649660891634,-26.901849721738884,-8.102583528189571,-2.3011296713092237,-2.355803736624643
0057_MWIR (2).jpg,0.545471,1.895073,1.2779241408787916,-26.91560529004778,-8.10667843219942,-2.3023094820798335,-2.3570390043105967
0058_MWIR (2).jpg,0.524162,1.895321,1.2610466796232878,-27.000787152634,-8.132041433776488,-2.30961677454431,-2.36468768153719
0059_MWIR (2).jpg,0.546539,1.853577,1.2584701629678328,-27.013791587838654,-8.135914870213881,-2.31073269154924,-2.3658551866335773
0060_MWIR (2).jpg,0.504345,1.897118,1.252651235463552,-27.043159066840087,-8.144656375410102,-2.313251285798518,-2.368492529039156
0061_MWIR (2).jpg,0.460751,1.854015,1.2423806218780578,-27.094994010092716,-8.16008625141781,-2.3176968910682123,-2.373147442566097
0062_MWIR (2).jpg,0.50449,1.812038,1.2392196633531067,-27.110947540693612,-8.164836271428596,-2.319065429078816,-2.3745799889122594
0063_MWIR (2).jpg,0.504204,1.854362,1.2382559529537671,-27.115810807002553,-8.166282715847887,-2.3194822207548387,-2.375016896852173
0064_MWIR (2).jpg,0.548115,1.791256,1.2192992655607877,-27.211483077612996,-8.194760460266496,-2.327687232742388,-2.3836087829777557
0065_MWIR (2).jpg,0.462757,1.813473,1.2196262916157046,-27.209832647155647,-8.19426925581596,-2.3275456907486745,-2.3834605341651534
0066_MWIR (2).jpg,0.505836,1.79211,1.2247923858549412,-27.18375922992472,-8.186506491744584,-2.325309139973972,-2.381119236445787
0067_MWIR (2).jpg,0.506294,1.835213,1.2230517041982631,-27.192543669991753,-8.189119839425343,-2.326062153280776,-2.381908330273074
0068_MWIR (2).jpg,0.485313,1.899734,1.2173641261160715,-27.221249367060523,-8.197667128390737,-2.328524706522629,-2.3844858838354868
0069_MWIR (2).jpg,0.464058,1.83614,1.2120144063845402,-27.248248278749095,-8.205702315313511,-2.330839842150468,-2.3869106942277694
0070_MWIR (2).jpg,0.550388,1.985313,1.3115996703033268,-26.74563465996897,-8.056050877036824,-2.2877239253672985,-2.3417795171192144
0071_MWIR (2).jpg,0.57238,2.04961,1.3396746719055772,-26.603932001437855,-8.013844424279585,-2.2755645431072913,-2.3290579097133097
0072_MWIR (2).jpg,0.615059,2.027916,1.389204197352006,-26.353940027947857,-7.939378617641538,-2.2541116872085714,-2.3066152061136402
0073_MWIR (2).jpg,0.658089,2.049149,1.386399140432363,-26.368098210905416,-7.9435963129947496,-2.2553267810964956,-2.3078862392201365
0074_MWIR (2).jpg,0.61475,1.985035,1.376123076051859,-26.419965022200714,-7.959046299468827,-2.259777780122403,-2.3125425123950176
0075_MWIR (2).jpg,0.592892,1.942139,1.3748348467924414,-26.426468117940544,-7.960985736162353,-2.2603364002051576,-2.3131259489594322
0076_MWIR (2).jpg,0.592987,1.942234,1.3702645901327055,-26.449536083783865,-7.967857920095045,-2.2623161630641815,-2.315196703370205
0077_MWIR (2).jpg,0.507099,2.027695,1.326588822180773,-26.669980244206513,-8.033517539836696,-2.281232267035489,-2.334987529632134
0078_MWIR (2).jpg,0.549629,1.835442,1.266478511457314,-26.97336888613345,-8.123869282751082,-2.3072625731826797,-2.362226827383795
0079_MWIR (2).jpg,0.528381,1.857082,1.2690237873838062,-26.9605215900379,-8.12004131531209,-2.3061597956195468,-2.3610736019576906
